"",Set,Count
1584,"(10, 31)",80
1582,"(10, 11)",80
1838,"(18, 38)",80
4632,"(29, 30)",80
1229,"(27, 33)",80
1786,"(2, 25)",80
10310,"(23, 49)",80
7291,"(3, 4)",80
1645,"(25, 32)",80
690,"(46, 48)",80
2602,"(35, 41)",80
7460,"(4, 41)",80
2647,"(32, 38)",80
1591,"(12, 32)",80
3600,"(29, 7)",80
1589,"(11, 32)",80
115,"(11, 24)",80
2984,"(13, 42)",80
1121,"(2, 48)",80
2887,"(21, 8)",80
1335,"(26, 30)",80
2795,"(36, 44)",80
457,"(1, 32)",80
517,"(37, 41)",80
508,"(22, 24)",80
2043,"(27, 42)",80
5899,"(12, 29)",80
2152,"(38, 44)",80
1171,"(1, 35)",80
1536,"(23, 5)",80
4585,"(25, 34)",80
2150,"(29, 38)",80
735,"(1, 19)",80
1486,"(33, 48)",80
409,"(28, 39)",80
2797,"(44, 45)",80
9932,"(23, 40)",80
1278,"(11, 14)",80
853,"(25, 48)",80
3968,"(41, 7)",80
1177,"(21, 27)",80
4055,"(17, 31)",80
3736,"(16, 7)",80
5901,"(34, 5)",80
173,"(14, 44)",80
3779,"(14, 22)",80
180,"(32, 44)",80
4271,"(10, 4)",80
3875,"(33, 47)",80
238,"(20, 49)",79
2550,"(14, 29)",79
2696,"(25, 39)",79
3782,"(22, 49)",79
2693,"(24, 39)",79
4272,"(10, 45)",79
4944,"(15, 40)",79
3592,"(1, 18)",79
6208,"(20, 34)",79
5435,"(42, 46)",79
5947,"(30, 6)",79
4320,"(25, 3)",79
3273,"(30, 39)",79
3411,"(37, 38)",79
3227,"(18, 30)",79
3317,"(32, 41)",79
182,"(32, 8)",79
2931,"(16, 31)",79
17462,"(2, 34)",79
5434,"(19, 46)",79
1385,"(24, 36)",79
910,"(48, 5)",79
854,"(25, 6)",79
952,"(20, 39)",79
1941,"(15, 21)",79
1279,"(11, 25)",79
4368,"(36, 6)",79
520,"(40, 45)",79
10156,"(10, 47)",79
10661,"(21, 31)",79
1841,"(26, 38)",79
6742,"(28, 7)",79
6703,"(1, 26)",79
1534,"(23, 32)",79
0,"(15, 24)",79
3181,"(31, 9)",78
964,"(49, 8)",78
962,"(45, 49)",78
2,"(15, 37)",78
123,"(24, 35)",78
1834,"(15, 33)",78
4225,"(15, 43)",78
2151,"(29, 44)",78
7378,"(41, 6)",78
5034,"(20, 3)",78
633,"(30, 9)",78
3460,"(46, 9)",78
2199,"(26, 43)",78
7000,"(4, 49)",78
3545,"(19, 22)",78
60,"(12, 49)",78
518,"(37, 45)",78
3033,"(17, 33)",78
456,"(1, 27)",78
114,"(11, 17)",78
6869,"(11, 7)",78
1280,"(11, 44)",78
4185,"(5, 9)",78
3967,"(27, 7)",78
8334,"(12, 13)",78
1333,"(24, 30)",78
793,"(16, 18)",78
4630,"(15, 29)",78
5385,"(12, 17)",78
10049,"(20, 31)",78
1588,"(11, 31)",78
5207,"(32, 47)",78
11077,"(2, 27)",78
2743,"(11, 6)",78
2746,"(35, 45)",78
4456,"(14, 19)",78
624,"(12, 8)",78
4455,"(11, 19)",78
2296,"(11, 37)",78
1433,"(28, 9)",78
10881,"(23, 28)",78
739,"(15, 47)",78
1429,"(16, 4)",78
354,"(31, 47)",78
229,"(18, 20)",78
1787,"(2, 4)",78
10311,"(47, 49)",78
6380,"(21, 42)",78
681,"(30, 35)",78
1940,"(13, 7)",78
2495,"(22, 23)",78
578,"(35, 36)",78
5079,"(1, 23)",78
736,"(1, 47)",78
4500,"(36, 8)",78
287,"(1, 48)",78
564,"(18, 22)",78
11713,"(2, 21)",77
12335,"(15, 36)",77
7981,"(22, 46)",77
3083,"(14, 36)",77
3687,"(11, 38)",77
4722,"(15, 44)",77
11267,"(23, 27)",77
2936,"(32, 49)",77
849,"(21, 43)",77
2596,"(1, 41)",77
4629,"(1, 31)",77
1649,"(32, 36)",77
510,"(22, 40)",77
3087,"(4, 44)",77
7332,"(25, 28)",77
288,"(1, 7)",77
7626,"(20, 27)",77
410,"(28, 40)",77
2246,"(10, 35)",77
2046,"(29, 42)",77
2297,"(11, 40)",77
5816,"(1, 12)",77
5690,"(1, 5)",77
3826,"(17, 39)",77
7543,"(4, 7)",77
6252,"(41, 47)",77
1537,"(30, 32)",77
1329,"(14, 24)",77
8453,"(16, 22)",77
2980,"(1, 42)",77
6957,"(11, 9)",77
15214,"(2, 29)",77
5033,"(10, 46)",77
11562,"(3, 8)",77
3172,"(23, 26)",77
908,"(38, 5)",77
11078,"(27, 38)",77
1012,"(17, 44)",77
1734,"(2, 28)",77
2886,"(21, 5)",77
960,"(41, 49)",77
1737,"(2, 33)",77
9784,"(18, 24)",77
955,"(20, 8)",77
1697,"(13, 34)",77
70,"(42, 7)",77
2978,"(1, 2)",77
5116,"(28, 41)",77
356,"(47, 8)",77
11,"(27, 8)",77
630,"(2, 30)",77
10997,"(16, 34)",76
2300,"(14, 37)",76
6162,"(12, 37)",76
2247,"(10, 39)",76
1586,"(10, 33)",76
3734,"(15, 3)",76
2197,"(26, 31)",76
1223,"(13, 33)",76
744,"(19, 48)",76
465,"(32, 9)",76
4374,"(6, 9)",76
5732,"(20, 7)",76
2251,"(15, 49)",76
12,"(37, 46)",76
5343,"(36, 47)",76
6035,"(37, 44)",76
21891,"(38, 41)",76
5389,"(26, 40)",76
1739,"(28, 33)",76
1888,"(31, 38)",76
1738,"(28, 32)",76
3410,"(35, 38)",76
6660,"(14, 15)",76
7081,"(20, 25)",76
2447,"(39, 43)",76
353,"(30, 8)",76
622,"(12, 2)",76
1338,"(33, 8)",76
6164,"(29, 49)",76
1837,"(18, 33)",76
9,"(27, 37)",76
4184,"(19, 5)",76
179,"(26, 8)",76
8497,"(20, 33)",76
1646,"(25, 36)",76
7459,"(19, 43)",76
7627,"(6, 7)",76
2149,"(23, 44)",76
5944,"(25, 30)",76
8992,"(12, 18)",76
516,"(37, 40)",76
69,"(42, 49)",76
6503,"(13, 45)",76
183,"(44, 5)",76
5647,"(26, 41)",76
1067,"(21, 34)",76
59,"(12, 42)",76
2601,"(34, 41)",76
3550,"(22, 44)",76
4769,"(1, 24)",76
9075,"(47, 6)",76
2044,"(29, 3)",76
5556,"(20, 21)",76
1330,"(14, 30)",76
2040,"(10, 29)",76
4100,"(45, 46)",76
2934,"(25, 45)",76
788,"(10, 16)",76
566,"(18, 31)",76
10623,"(2, 35)",76
11338,"(25, 41)",76
3456,"(26, 27)",76
3502,"(22, 32)",76
1172,"(13, 19)",76
680,"(12, 48)",75
1648,"(29, 36)",75
2597,"(10, 41)",75
1595,"(32, 33)",75
6459,"(2, 26)",75
1782,"(11, 4)",75
10198,"(21, 45)",75
682,"(30, 4)",75
3226,"(13, 18)",75
9156,"(26, 6)",75
5646,"(26, 37)",75
9554,"(45, 47)",75
61,"(12, 7)",75
18022,"(24, 28)",75
57,"(12, 19)",75
2600,"(34, 35)",75
10510,"(33, 40)",75
4987,"(40, 47)",75
7165,"(33, 46)",75
9032,"(3, 40)",75
1065,"(19, 4)",75
573,"(27, 31)",75
58,"(12, 36)",75
2097,"(38, 47)",75
3084,"(14, 4)",75
686,"(35, 46)",75
5295,"(15, 45)",75
6417,"(3, 37)",75
2252,"(35, 39)",75
5817,"(12, 14)",75
3873,"(25, 47)",75
570,"(22, 31)",75
6207,"(20, 32)",75
1178,"(21, 35)",75
6033,"(22, 39)",75
3684,"(10, 28)",75
5943,"(23, 34)",75
3038,"(48, 8)",75
6913,"(18, 44)",75
4584,"(22, 34)",75
5818,"(12, 6)",75
907,"(38, 48)",75
3781,"(22, 48)",75
2987,"(2, 42)",75
2039,"(10, 27)",75
8416,"(32, 40)",75
4226,"(18, 3)",75
12336,"(18, 47)",75
2146,"(20, 44)",75
8136,"(23, 7)",75
6786,"(36, 48)",75
1331,"(14, 33)",75
791,"(10, 42)",75
9861,"(26, 7)",75
4014,"(40, 8)",75
568,"(18, 36)",74
3315,"(30, 41)",74
5601,"(22, 9)",74
9240,"(32, 7)",74
1176,"(19, 35)",74
3735,"(16, 3)",74
240,"(40, 49)",74
745,"(47, 48)",74
2299,"(14, 2)",74
855,"(43, 48)",74
13681,"(17, 43)",74
3691,"(48, 49)",74
5990,"(14, 39)",74
461,"(27, 32)",74
9638,"(24, 5)",74
4988,"(40, 9)",74
116,"(11, 35)",74
12105,"(30, 44)",74
399,"(13, 21)",74
4628,"(1, 30)",74
2142,"(13, 44)",74
740,"(15, 48)",74
127,"(35, 47)",74
2145,"(20, 38)",74
7937,"(31, 37)",74
1285,"(25, 49)",74
1230,"(3, 33)",74
346,"(19, 8)",74
292,"(14, 7)",74
2793,"(29, 45)",74
1062,"(19, 32)",74
628,"(16, 8)",74
5432,"(10, 2)",74
685,"(35, 4)",74
956,"(39, 41)",74
13861,"(23, 48)",74
6034,"(22, 42)",74
2202,"(35, 43)",74
6297,"(5, 7)",74
2446,"(31, 45)",74
7164,"(33, 36)",74
4859,"(14, 16)",74
174,"(14, 5)",74
1284,"(25, 44)",74
13251,"(29, 8)",74
2645,"(19, 33)",73
2594,"(1, 10)",73
1942,"(15, 39)",73
298,"(48, 9)",73
297,"(48, 7)",73
4771,"(30, 37)",73
743,"(16, 48)",73
6460,"(2, 3)",73
4725,"(33, 44)",73
4678,"(34, 49)",73
2888,"(39, 5)",73
6661,"(15, 23)",73
402,"(13, 39)",73
184,"(44, 8)",73
4985,"(30, 40)",73
2393,"(10, 22)",73
2398,"(22, 5)",73
2492,"(2, 23)",73
347,"(28, 30)",73
5118,"(41, 5)",73
7938,"(31, 5)",73
1532,"(16, 46)",73
2253,"(35, 49)",73
1334,"(24, 33)",73
